"Topics","Ontology","Count","GeneRatio","BgRatio","pvalue","p.adjust","Uploaded.IDs"
"Regulation of Protein Phosphorylation and G-Protein Coupled Receptor Activity","MF",2,"2/297","744/30343",0.9948,1,"P36873/Q16513"
"Enzymatic Activities in Metabolism and Nucleotide Modification","MF",1,"1/297","45/30343",0.3579,0.6379,"P00558"
"Aminoacylation of tRNA","BP",1,"1/297","58/30343",0.4351,0.7116,"P26639"
"Diverse Enzymatic Functions in tRNA Modification and Protein Synthesis","MF",1,"1/297","78/30343",0.5362,0.7805,"Q9Y3E5"
"Mechanisms of DNA Repair: Roles of Glycosylases and Lyases in Base Excision","MF",1,"1/297","82/30343",0.5541,0.7943,"Q9HDC9"
"Enzymatic Sulfation and Desulfation in Glycosaminoglycan Metabolism","MF",1,"1/297","92/30343",0.596,0.8063,"Q07954"
"Key Immunoglobulin Complexes and Associated Cellular Structures","CC",1,"1/297","120/30343",0.6935,0.8822,"Q14204"
"Diverse Protein Complexes in Chromatin Remodeling and GPI-anchor Biosynthesis","CC",1,"1/297","231/30343",0.8978,1,"Q14157"
"Regulation and Metabolism of Glycosaminoglycans and Proteoglycans","BP",1,"1/297","239/30343",0.9056,1,"Q9UHN6"
"Key Transcription Complexes and Their Roles in Gene Regulation","CC",1,"1/297","282/30343",0.9384,1,"Q9NR30"
"Key Protein Complexes and Their Functions in Cellular Processes","CC",1,"1/297","288/30343",0.9419,1,"P06756"
